,sentiment,preprocess
0,empty,know listenin bad habit earlier start freakin part
1,sadness,layin bed headach ughhhh waitin call
2,sadness,funer ceremoni gloomi friday
3,enthusiasm,want hang friend soon
4,neutral,trade someon houston ticket
5,worry,ping go prom bc bf like friend
6,sadness,sleep think old friend marri damn amp want scandal
7,worry,hmmm
8,sadness,charlen love miss
9,sadness,sorri least friday
10,neutral,cant fall asleep
11,worry,choke retain
12,sadness,ugh beat stupid song get next rude
13,sadness,watch hill london realis tourtur week week late watch itonlinelol
14,surprise,got news
15,sadness,storm electr gone
16,love,agre
17,sadness,sleepi even late fail
18,worry,ladi gaga tweet impress video leak know
19,sadness,convinc alway want signal give damn think lost anoth friend
20,worry,oh bad hope get better sleep issu late
21,fun,wonder awak write new song plot evil secret plot muahahaha oh damn secret anymor
22,neutral,topic map talk balisag markup confer program onlin via topicmap
23,worry,ate someth know keep tell thing food
24,sadness,tire think definit go get ear infect go bed quot earli quot
25,worry,way home deal w underag girl drink gin bu talk bout kegger damn feel old
26,sadness,sorri peopl rude isaac get manner know better lewd
27,worry,damm server still need hit koxper pass
28,sadness,fudg bs whole paper tire ugh hate school time sleep
29,worry,hate cancer hate hate hate
30,hate,annoy start type comput middl night
31,neutral,cant sleep
32,neutral,miss bl bu
33,neutral,feel strong contract want go
34,neutral,socal stoke mayb tomorrow
35,neutral,screw week
36,sadness,yeah feel funni caus slept enough woke mum caus sing impress
37,worry,need skott right
38,neutral,work afternoon
39,neutral,aw would unfollow would would cri
40,happiness,mmm much better day far still quit earli last day ud
41,fun,lt gon na first twitter caus amaz lol canada would anyth see perform
42,worry,pick blackberri middl street crush
43,worry,feel pack hit sfo around time year think miss someth
44,empty,middl school elem high school remain open need credit graduat cali broken
45,worry,bed time hope go school tomorrow though feel well right
46,worry,ahh well hope could learn stuff way work separ thing
47,sadness,problem photo twitter amf see
48,neutral,oh noooo blow tire reaaaalli go send batman smoke
49,neutral,wnna bath
50,neutral,chocol milk much better straw lack said straw
51,worry,tire
52,empty,hey yu lil fucker textd yu
53,neutral,time diff wrap day day stuff havent tweet talk soon must sleep hr
54,neutral,way damn suck b ok
55,worry,suck abl day work money trip sad
56,enthusiasm,bed sorta today good sara strep thought angelina share water b told prob get
57,neutral,recess restructur account done add bit pressur short term cope
58,neutral,got dib sulu
59,sadness,aww onward upward yay still sad leav bet
60,worry,haha poor abi still get sore
61,sadness,diesel yari mpg sad avail us awesom
62,sadness,buy great album unfortun dont hav enuff fund quot long time noisi quot
63,sadness,honesti pain blech
64,sadness,ok passeng aliv dead know cri
65,neutral,home alon much
66,worry,much realli happi cook choic singl
67,sadness,fell asleep beach put enough sunscreen lol
